"本数","音名 (一の糸)","調弦","一の糸","二の糸","三の糸"
"1","A","本調子","220","293.7","440"
"1","A","二上り","220","329.6","440"
"1","A","三下り","220","293.7","392"
"2","A# (Bb)","本調子","233.1","311.1","466.2"
"2","A# (Bb)","二上り","233.1","349.2","466.2"
"2","A# (Bb)","三下り","233.1","311.1","415.3"
"3","B","本調子","246.9","329.6","493.9"
"3","B","二上り","246.9","370","493.9"
"3","B","三下り","246.9","329.6","440"
"4","C","本調子","261.6","349.2","523.3"
"4","C","二上り","261.6","392","523.3"
"4","C","三下り","261.6","349.2","466.2"
"5","C# (Db)","本調子","277.2","370","554.4"
"5","C# (Db)","二上り","277.2","415.3","554.4"
"5","C# (Db)","三下り","277.2","370","493.9"
"6","D","本調子","293.7","392","587.3"
"6","D","二上り","293.7","440","587.3"
"6","D","三下り","293.7","392","523.3"
"7","D# (Eb)","本調子","311.1","415.3","622.3"
"7","D# (Eb)","二上り","311.1","466.2","622.3"
"7","D# (Eb)","三下り","311.1","415.3","554.4"
"8","E","本調子","329.6","440","659.3"
"8","E","二上り","329.6","493.9","659.3"
"8","E","三下り","329.6","440","587.3"
"9","F","本調子","349.2","466.2","698.5"
"9","F","二上り","349.2","523.3","698.5"
"9","F","三下り","349.2","466.2","622.3"
"10","F# (Gb)","本調子","370","493.9","740"
"10","F# (Gb)","二上り","370","554.4","740"
"10","F# (Gb)","三下り","370","493.9","659.3"
"11","G","本調子","392","523.3","784"
"11","G","二上り","392","587.3","784"
"11","G","三下り","392","523.3","698.5"
"12","G# (Ab)","本調子","415.3","554.4","830.6"
"12","G# (Ab)","二上り","415.3","622.3","830.6"
"12","G# (Ab)","三下り","415.3","554.4","740"
